id,english,dwarf,elf,goblin,human,disambig,pos,noun,verb
929,fleshy,ar,leci,etkûk,ammen,,adjective,,
930,fling,ëtul,òciyì,zoslo,asna,,verb,,present 1st person
931,flings,ëtul,òciyì,zoslo,asna,,verb,,present 3rd person
932,flung,ëtul,òciyì,zoslo,asna,,verb,,preterite
933,flung,ëtul,òciyì,zoslo,asna,,verb,,past participle
934,flinging,ëtul,òciyì,zoslo,asna,,verb,,present participle
935,flood,låluth,wikira,oda,nonu,,noun,singular,
936,floods,låluth,wikira,oda,nonu,,noun,plural,
937,flood,låluth,wikira,oda,nonu,,verb,,present 1st person
938,floods,låluth,wikira,oda,nonu,,verb,,present 3rd person
939,flooded,låluth,wikira,oda,nonu,,verb,,preterite
940,flooded,låluth,wikira,oda,nonu,,verb,,past participle
941,flooding,låluth,wikira,oda,nonu,,verb,,present participle
942,flower,totmon,ima,resm,testri,,noun,singular,
943,flowers,totmon,ima,resm,testri,,noun,plural,
944,flowery,totmon,ima,resm,testri,,adjective,,
945,flute,bem,nèmile,ongum,ras,,noun,singular,
946,flutes,bem,nèmile,ongum,ras,,noun,plural,
947,fly,fenglel,yetine,atu,ngáthi,,noun,singular,
948,flies,fenglel,yetine,atu,ngáthi,,noun,plural,
949,flier,gigin,efili,ûn,añu,,noun,singular,
950,fliers,gigin,efili,ûn,añu,,noun,plural,
951,fly,gigin,efili,ûn,añu,,verb,,present 1st person
952,flies,gigin,efili,ûn,añu,,verb,,present 3rd person
953,flew,gigin,efili,ûn,añu,,verb,,preterite
954,flew,gigin,efili,ûn,añu,,verb,,past participle
955,flying,gigin,efili,ûn,añu,,verb,,present participle
956,focus,atham,ené,rosmnu,ahdo,,noun,singular,
957,focuses,atham,ené,rosmnu,ahdo,,noun,plural,
958,focus,atham,ené,rosmnu,ahdo,,verb,,present 1st person
959,focuses,atham,ené,rosmnu,ahdo,,verb,,present 3rd person
960,focused,atham,ené,rosmnu,ahdo,,verb,,preterite
961,focused,atham,ené,rosmnu,ahdo,,verb,,past participle
962,focusing,atham,ené,rosmnu,ahdo,,verb,,present participle
963,fog,amug,oda,xob,ared,,noun,singular,
964,fogs,amug,oda,xob,ared,,noun,plural,
965,foggy,amug,oda,xob,ared,,adjective,,
966,fool,cabnul,quinefa,ustrâ,tibep,,noun,singular,
967,fools,cabnul,quinefa,ustrâ,tibep,,noun,plural,
968,foolish,cabnul,quinefa,ustrâ,tibep,,adjective,,
969,foot,nog,aro,ostrul,jal,,noun,singular,
970,feet,nog,aro,ostrul,jal,,noun,plural,
971,forest,fotthor,mina,udast,lesno,,noun,singular,
972,forests,fotthor,mina,udast,lesno,,noun,plural,
973,fork,ìltang,iva,tolto,lastrik,,noun,singular,
974,forks,ìltang,iva,tolto,lastrik,,noun,plural,
975,fork,ìltang,iva,tolto,lastrik,,verb,,present 1st person
976,forks,ìltang,iva,tolto,lastrik,,verb,,present 3rd person
977,forked,ìltang,iva,tolto,lastrik,,verb,,preterite
978,forked,ìltang,iva,tolto,lastrik,,verb,,past participle
979,forking,ìltang,iva,tolto,lastrik,,verb,,present participle
980,fortification,dumed,acene,osma,uvno,,noun,singular,
981,fortifications,dumed,acene,osma,uvno,,noun,plural,
982,fortify,dumed,acene,osma,uvno,,verb,,present 1st person
983,fortifies,dumed,acene,osma,uvno,,verb,,present 3rd person
984,fortified,dumed,acene,osma,uvno,,verb,,preterite
985,fortified,dumed,acene,osma,uvno,,verb,,past participle
986,fortifying,dumed,acene,osma,uvno,,verb,,present participle
987,fortress,geshud,abeco,snusp,thrathdad,,noun,singular,
988,fortresses,geshud,abeco,snusp,thrathdad,,noun,plural,
989,fragile,inglaz,rimati,ngosud,ric,,adjective,,
990,fragment,ézneth,thesa,ustba,pimut,,noun,singular,
991,fragments,ézneth,thesa,ustba,pimut,,noun,plural,
992,fragment,ézneth,thesa,ustba,pimut,,verb,,present 1st person
993,fragments,ézneth,thesa,ustba,pimut,,verb,,present 3rd person
994,fragmented,ézneth,thesa,ustba,pimut,,verb,,preterite
995,fragmented,ézneth,thesa,ustba,pimut,,verb,,past participle
996,fragmenting,ézneth,thesa,ustba,pimut,,verb,,present participle
997,frame,tiklom,cúcima,ob,struslot,,noun,singular,
998,frames,tiklom,cúcima,ob,struslot,,noun,plural,
999,frame,tiklom,cúcima,ob,struslot,,verb,,present 1st person
1000,frames,tiklom,cúcima,ob,struslot,,verb,,present 3rd person
1001,framed,tiklom,cúcima,ob,struslot,,verb,,preterite
1002,framed,tiklom,cúcima,ob,struslot,,verb,,past participle
1003,framing,tiklom,cúcima,ob,struslot,,verb,,present participle
1004,fray,ïsir,ithafe,äs,esut,,verb,,present 1st person
1005,frays,ïsir,ithafe,äs,esut,,verb,,present 3rd person
1006,frayed,ïsir,ithafe,äs,esut,,verb,,preterite
1007,frayed,ïsir,ithafe,äs,esut,,verb,,past participle
1008,fraying,ïsir,ithafe,äs,esut,,verb,,present participle
1009,freedom,eshim,ethéda,sostu,rama,,noun,singular,
1010,freedoms,eshim,ethéda,sostu,rama,,noun,plural,
1011,free,eshim,ethéda,sostu,rama,,adjective,,
1012,frenzy,lumash,camoÿe,roslast,oxul,,noun,singular,
1013,frenzies,lumash,camoÿe,roslast,oxul,,noun,plural,
1014,freeze,gishdist,thetifì,gam,opoc,,verb,,present 1st person
1015,freezes,gishdist,thetifì,gam,opoc,,verb,,present 3rd person
1016,froze,gishdist,thetifì,gam,opoc,,verb,,preterite
1017,frozen,gishdist,thetifì,gam,opoc,,verb,,past participle
1018,freezing,gishdist,thetifì,gam,opoc,,verb,,present participle
1019,frill,thîdas,mithidi,renus,shessat,,noun,singular,
1020,frills,thîdas,mithidi,renus,shessat,,noun,plural,
1021,frilly,thîdas,mithidi,renus,shessat,,adjective,,
1022,frog,enog,amimó,uxus,ihhi,,noun,singular,
1023,frogs,enog,amimó,uxus,ihhi,,noun,plural,
1024,fruit,dozeb,ile,utmak,par,,noun,singular,
1025,fruits,dozeb,ile,utmak,par,,noun,plural,
1026,fruity,dozeb,ile,utmak,par,,adjective,,
1027,fungus,muz,arari,ësmor,meplul,,noun,singular,
1028,fungi,muz,arari,ësmor,meplul,,noun,plural,
1029,fur,âst,narena,mot,ume,,noun,singular,
1030,furs,âst,narena,mot,ume,,noun,plural,
1031,gall,dushig,lefide,enggô,marat,,noun,singular,
1032,galls,dushig,lefide,enggô,marat,,noun,plural,
1033,game,bakat,mene,zadxe,erab,,noun,singular,
1034,games,bakat,mene,zadxe,erab,,noun,plural,
1035,garish,shistat,lifi,luslul,galsek,,adjective,,
1036,garlic,goral,nefefi,ot,imec,,noun,singular,
1037,garlics,goral,nefefi,ot,imec,,noun,plural,
1038,garnish,kèbmak,fefa,kast,abuth,,noun,singular,
1039,garnishes,kèbmak,fefa,kast,abuth,,noun,plural,
1040,garnish,kèbmak,fefa,kast,abuth,,verb,,present 1st person
1041,garnishes,kèbmak,fefa,kast,abuth,,verb,,present 3rd person
1042,garnished,kèbmak,fefa,kast,abuth,,verb,,preterite
1043,garnished,kèbmak,fefa,kast,abuth,,verb,,past participle
1044,garnishing,kèbmak,fefa,kast,abuth,,verb,,present participle
1045,gate,inod,iÿema,dûnguk,kir,,noun,singular,
1046,gates,inod,iÿema,dûnguk,kir,,noun,plural,
1047,gaunt,zisur,foce,az,mosh,,adjective,,
1048,gaze,list,temame,spoxom,cikul,,noun,singular,
1049,gazes,list,temame,spoxom,cikul,,noun,plural,
1050,gear,olon,fathala,sosleng,ago,,noun,singular,
1051,gears,olon,fathala,sosleng,ago,,noun,plural,
1052,geared,olon,fathala,sosleng,ago,,adjective,,
1053,gerbil,ërtong,nithi,goksta,ithrit,,noun,singular,
1054,gerbils,ërtong,nithi,goksta,ithrit,,noun,plural,
1055,ghost,ngotol,oreme,engror,tacnu,,noun,singular,
1056,ghosts,ngotol,oreme,engror,tacnu,,noun,plural,
1057,ghoul,kolad,fecawi,osnun,reko,,noun,singular,
1058,ghouls,kolad,fecawi,osnun,reko,,noun,plural,
1059,gift,egen,sema,espo,kadi,,noun,singular,
1060,gifts,egen,sema,espo,kadi,,noun,plural,
1061,gift,egen,sema,espo,kadi,,verb,,present 1st person
1062,gifts,egen,sema,espo,kadi,,verb,,present 3rd person
1063,gifted,egen,sema,espo,kadi,,verb,,preterite
1064,gifted,egen,sema,espo,kadi,,verb,,past participle
1065,gifting,egen,sema,espo,kadi,,verb,,present participle
1066,gill,rúbal,dethe,stongun,buqui,,noun,singular,
1067,gills,rúbal,dethe,stongun,buqui,,noun,plural,
1068,girdle,gintar,emitho,oxoz,bil,,noun,singular,
1069,girdles,gintar,emitho,oxoz,bil,,noun,plural,
1070,girdled,gintar,emitho,oxoz,bil,,adjective,,
1071,gland,figul,lolathe,gosmsex,spugac,,noun,singular,
1072,glands,figul,lolathe,gosmsex,spugac,,noun,plural,
1073,glaze,fikod,fifí,ul,cango,,noun,singular,
1074,glazes,fikod,fifí,ul,cango,,noun,plural,
1075,glaze,fikod,fifí,ul,cango,,verb,,present 1st person
1076,glazes,fikod,fifí,ul,cango,,verb,,present 3rd person
1077,glazed,fikod,fifí,ul,cango,,verb,,preterite
1078,glazed,fikod,fifí,ul,cango,,verb,,past participle
1079,glazing,fikod,fifí,ul,cango,,verb,,present participle
1080,glen,bebmal,idala,asnur,zin,,noun,singular,
1081,glens,bebmal,idala,asnur,zin,,noun,plural,
1082,glide,bavast,vari,ora,urde,,verb,,present 1st person
1083,glides,bavast,vari,ora,urde,,verb,,present 3rd person
1084,glided,bavast,vari,ora,urde,,verb,,preterite
1085,glided,bavast,vari,ora,urde,,verb,,past participle
1086,gliding,bavast,vari,ora,urde,,verb,,present participle
1087,glimmer,kåtdir,pili,ong,ener,,noun,singular,
1088,glimmers,kåtdir,pili,ong,ener,,noun,plural,
1089,glimmer,kåtdir,pili,ong,ener,,verb,,present 1st person
1090,glimmers,kåtdir,pili,ong,ener,,verb,,present 3rd person
1091,glimmered,kåtdir,pili,ong,ener,,verb,,preterite
1092,glimmered,kåtdir,pili,ong,ener,,verb,,past participle
1093,glimmering,kåtdir,pili,ong,ener,,verb,,present participle
1094,glisten,éthes,ali,odstron,ices,,verb,,present 1st person
1095,glistens,éthes,ali,odstron,ices,,verb,,present 3rd person
1096,glistened,éthes,ali,odstron,ices,,verb,,preterite
1097,glistened,éthes,ali,odstron,ices,,verb,,past participle
1098,glistening,éthes,ali,odstron,ices,,verb,,present participle
1099,gloss,igest,nìno,uram,em,,noun,singular,
1100,glosses,igest,nìno,uram,em,,noun,plural,
1101,gloss,igest,nìno,uram,em,,verb,,present 1st person
1102,glosses,igest,nìno,uram,em,,verb,,present 3rd person
1103,glossed,igest,nìno,uram,em,,verb,,preterite
1104,glossed,igest,nìno,uram,em,,verb,,past participle
1105,glossing,igest,nìno,uram,em,,verb,,present participle
1106,glove,reg,athida,deng,durpul,,noun,singular,
1107,gloves,reg,athida,deng,durpul,,noun,plural,
1108,gloved,reg,athida,deng,durpul,,adjective,,
1109,glutton,ubur,leweme,rusm,uquir,,noun,singular,
1110,gluttons,ubur,leweme,rusm,uquir,,noun,plural,
1111,goat,belbez,efafi,orang,apsong,,noun,singular,
1112,goats,belbez,efafi,orang,apsong,,noun,plural,
1113,god,nòm,ama,usp,anoth,,noun,singular,
1114,gods,nòm,ama,usp,anoth,,noun,plural,
1115,godly,nòm,ama,usp,anoth,,adjective,,
1116,god-forsaken,bunsoth,ulire,togu,lek,,adjective,,
1117,gold,limul,ithi,ongong,abli,,noun,singular,
1118,golds,limul,ithi,ongong,abli,,noun,plural,
1119,golden,limul,ithi,ongong,abli,,adjective,,
1120,goose,kurig,abime,us,jathbi,,noun,singular,
1121,geese,kurig,abime,us,jathbi,,noun,plural,
1122,gore,ugzol,racenu,oddo,odang,,verb,,present 1st person
1123,gores,ugzol,racenu,oddo,odang,,verb,,present 3rd person
1124,gored,ugzol,racenu,oddo,odang,,verb,,preterite
1125,gored,ugzol,racenu,oddo,odang,,verb,,past participle
1126,goring,ugzol,racenu,oddo,odang,,verb,,present participle
1127,gorge,erib,acithi,ezung,us,,noun,singular,
1128,gorges,erib,acithi,ezung,us,,noun,plural,
1129,gorge,îgam,etathu,nolsto,thedle,,verb,,present 1st person
1130,gorges,îgam,etathu,nolsto,thedle,,verb,,present 3rd person
1131,gorged,îgam,etathu,nolsto,thedle,,verb,,preterite
1132,gorged,îgam,etathu,nolsto,thedle,,verb,,past participle
1133,gorging,îgam,etathu,nolsto,thedle,,verb,,present participle
1134,grain,mas,eni,noto,copnut,,noun,singular,
1135,grains,mas,eni,noto,copnut,,noun,plural,
1136,grand,zugob,fafo,spostza,darmad,,adjective,,
1137,grape,mashus,pocace,tat,sothro,,noun,singular,
1138,grapes,mashus,pocace,tat,sothro,,noun,plural,
1139,grass,isin,enena,struxe,kege,,noun,singular,
1140,grasses,isin,enena,struxe,kege,,noun,plural,
1141,grave,mondûl,rufithi,orgu,gamo,,noun,singular,
1142,graves,mondûl,rufithi,orgu,gamo,,noun,plural,
1143,grease,siz,ware,mukong,otsu,,noun,singular,
1144,greases,siz,ware,mukong,otsu,,noun,plural,
1145,greatness,saràm,apaca,snuz,umon,,noun,singular,
1146,greatnesses,saràm,apaca,snuz,umon,,noun,plural,
1147,great,saràm,apaca,snuz,umon,,adjective,,
1148,greed,dal,rofane,zuspzeb,kostru,,noun,singular,
1149,greeds,dal,rofane,zuspzeb,kostru,,noun,plural,
1150,greenness,omer,liba,astru,el,,noun,singular,
1151,greennessses,omer,liba,astru,el,,noun,plural,
1152,green,omer,liba,astru,el,,adjective,,
1153,griffon,sumun,sinaru,oxdu,kajeth,,noun,singular,
1154,griffons,sumun,sinaru,oxdu,kajeth,,noun,plural,
1155,grill,gommuk,fenìtho,zot,cec,,verb,,present 1st person
1156,grills,gommuk,fenìtho,zot,cec,,verb,,present 3rd person
1157,grilled,gommuk,fenìtho,zot,cec,,verb,,preterite
1158,grilled,gommuk,fenìtho,zot,cec,,verb,,past participle
1159,grilling,gommuk,fenìtho,zot,cec,,verb,,present participle
1160,grim,usith,ucadi,ux,apru,,adjective,,
1161,grind,nerrid,lote,nêsnub,thetud,,verb,,present 1st person
1162,grinds,nerrid,lote,nêsnub,thetud,,verb,,present 3rd person
1163,ground,nerrid,lote,nêsnub,thetud,,verb,,preterite
1164,ground,nerrid,lote,nêsnub,thetud,,verb,,past participle
1165,grinding,nerrid,lote,nêsnub,thetud,,verb,,present participle
1166,grip,zágod,casena,slon,citu,,noun,singular,
1167,grips,zágod,casena,slon,citu,,noun,plural,
1168,grip,zágod,casena,slon,citu,,verb,,present 1st person
1169,grips,zágod,casena,slon,citu,,verb,,present 3rd person
1170,gripped,zágod,casena,slon,citu,,verb,,preterite
1171,gripped,zágod,casena,slon,citu,,verb,,past participle
1172,gripping,zágod,casena,slon,citu,,verb,,present participle
1173,gristle,mithmis,rinòwe,smaspest,slepon,,noun,singular,
1174,gristles,mithmis,rinòwe,smaspest,slepon,,noun,plural,
1175,gristly,mithmis,rinòwe,smaspest,slepon,,adjective,,
1176,grizzle,enol,caqui,utux,damso,,noun,singular,
1177,grizzles,enol,caqui,utux,damso,,noun,plural,
1178,grizzly,enol,caqui,utux,damso,,adjective,,
1179,grove,munèst,alala,guzel,ñimma,,noun,singular,
1180,groves,munèst,alala,guzel,ñimma,,noun,plural,
1181,grower,bol,ame,än,rin,,noun,singular,
1182,growers,bol,ame,än,rin,,noun,plural,
1183,grow,bol,ame,än,rin,,verb,,present 1st person
1184,grows,bol,ame,än,rin,,verb,,present 3rd person
1185,grew,bol,ame,än,rin,,verb,,preterite
1186,grown,bol,ame,än,rin,,verb,,past participle
1187,growing,bol,ame,än,rin,,verb,,present participle
1188,growl,ûz,ula,kudo,dothan,,noun,singular,
1189,growls,ûz,ula,kudo,dothan,,noun,plural,
1190,growl,ûz,ula,kudo,dothan,,verb,,present 1st person
1191,growls,ûz,ula,kudo,dothan,,verb,,present 3rd person
1192,growled,ûz,ula,kudo,dothan,,verb,,preterite
1193,growled,ûz,ula,kudo,dothan,,verb,,past participle
1194,growling,ûz,ula,kudo,dothan,,verb,,present participle
1195,growth,bål,mame,ngon,busbel,,noun,singular,
1196,growths,bål,mame,ngon,busbel,,noun,plural,
1197,grub,sitheb,cathe,oxosp,gut,,noun,singular,
1198,grubs,sitheb,cathe,oxosp,gut,,noun,plural,
1199,guard,duthnur,ino,totsnost,ocgi,,noun,singular,
1200,guards,duthnur,ino,totsnost,ocgi,,noun,plural,
1201,guard,duthnur,ino,totsnost,ocgi,,verb,,present 1st person
1202,guards,duthnur,ino,totsnost,ocgi,,verb,,present 3rd person
1203,guarded,duthnur,ino,totsnost,ocgi,,verb,,preterite
1204,guarded,duthnur,ino,totsnost,ocgi,,verb,,past participle
1205,guarding,duthnur,ino,totsnost,ocgi,,verb,,present participle
1206,guile,ilbåd,alece,kaza,quelge,,noun,singular,
1207,guiles,ilbåd,alece,kaza,quelge,,noun,plural,
1208,guise,rurast,nire,ummu,sahthet,,noun,singular,
1209,guises,rurast,nire,ummu,sahthet,,noun,plural,
1210,gut,suton,cetha,zumzust,ngok,,noun,singular,
1211,guts,suton,cetha,zumzust,ngok,,noun,plural,
1212,gutter,nuglush,cafafi,on,sasmcith,,noun,singular,
1213,gutters,nuglush,cafafi,on,sasmcith,,noun,plural,
1214,hag,ulthush,ciriko,zastrur,agwa,,noun,singular,
1215,hags,ulthush,ciriko,zastrur,agwa,,noun,plural,
1216,hair,razes,rera,esmast,ad,,noun,singular,
1217,hairs,razes,rera,esmast,ad,,noun,plural,
1218,hairy,bistök,leri,nosno,edet,,adjective,,
1219,hame,èzum,thifami,oru,rilstud,,noun,singular,
1220,hames,èzum,thifami,oru,rilstud,,noun,plural,
1221,hammer,nil,ÿeri,ospum,ongu,,noun,singular,
1222,hammers,nil,ÿeri,ospum,ongu,,noun,plural,
1223,hammerer,ùnil,alara,spar,gibam,,noun,singular,
1224,hammerers,ùnil,alara,spar,gibam,,noun,plural,
1225,hand,otad,raya,ngam,ám,,noun,singular,
1226,hands,otad,raya,ngam,ám,,noun,plural,
1227,handy,oddet,acethe,lose,aslas,,adjective,,
1228,hare,thetdel,iri,sluto,setduk,,noun,singular,
1229,hares,thetdel,iri,sluto,setduk,,noun,plural,
1230,harvest,golud,ika,åst,gustem,,noun,singular,
1231,harvests,golud,ika,åst,gustem,,noun,plural,
1232,harvester,ûd,civila,oso,zoku,,noun,singular,
1233,harvesters,ûd,civila,oso,zoku,,noun,plural,
1234,harvest,ûd,civila,oso,zoku,,verb,,present 1st person
1235,harvests,ûd,civila,oso,zoku,,verb,,present 3rd person
1236,harvested,ûd,civila,oso,zoku,,verb,,preterite
1237,harvested,ûd,civila,oso,zoku,,verb,,past participle
1238,harvesting,ûd,civila,oso,zoku,,verb,,present participle
1239,hatchet,kadol,lece,ono,ñethu,,noun,singular,
1240,hatchets,kadol,lece,ono,ñethu,,noun,plural,
1241,hate,lur,efacì,stosbûb,atac,,noun,singular,
1242,hates,lur,efacì,stosbûb,atac,,noun,plural,
1243,hateful,lur,efacì,stosbûb,atac,,adjective,,
1244,hate,lur,efacì,stosbûb,atac,,verb,,present 1st person
1245,hates,lur,efacì,stosbûb,atac,,verb,,present 3rd person
1246,hated,lur,efacì,stosbûb,atac,,verb,,preterite
1247,hated,lur,efacì,stosbûb,atac,,verb,,past participle
1248,hating,lur,efacì,stosbûb,atac,,verb,,present participle
1249,haunt,dumur,momi,smumxu,tuthid,,noun,singular,
1250,haunts,dumur,momi,smumxu,tuthid,,noun,plural,
1251,haunt,dumur,momi,smumxu,tuthid,,verb,,present 1st person
1252,haunts,dumur,momi,smumxu,tuthid,,verb,,present 3rd person
1253,haunted,dumur,momi,smumxu,tuthid,,verb,,preterite
1254,haunted,dumur,momi,smumxu,tuthid,,verb,,past participle
1255,haunting,dumur,momi,smumxu,tuthid,,verb,,present participle
1256,hawk,aknûn,senama,smuga,jathrur,,noun,singular,
1257,hawks,aknûn,senama,smuga,jathrur,,noun,plural,
1258,hay,otel,ayame,uga,thel,,noun,singular,
1259,hays,otel,ayame,uga,thel,,noun,plural,
1260,head,ser,íne,ostam,aru,,noun,singular,
1261,heads,ser,íne,ostam,aru,,noun,plural,
1262,heart,zanor,enira,osmat,usan,,noun,singular,
1263,hearts,zanor,enira,osmat,usan,,noun,plural,
1264,hearth,ur,ibame,ad,mothror,,noun,singular,
1265,hearths,ur,ibame,ad,mothror,,noun,plural,
1266,heather,bokbon,themiyi,nganuz,egesh,,noun,singular,
1267,heathers,bokbon,themiyi,nganuz,egesh,,noun,plural,
1268,hedge,èfim,ralila,slësu,hob,,noun,singular,
1269,hedges,èfim,ralila,slësu,hob,,noun,plural,
1270,hell,shash,méfaÿo,gozru,shoneth,,noun,singular,
1271,hells,shash,méfaÿo,gozru,shoneth,,noun,plural,
1272,hellish,shash,méfaÿo,gozru,shoneth,,adjective,,
1273,helm,zon,came,zuslo,ersi,,noun,singular,
1274,helms,zon,came,zuslo,ersi,,noun,plural,
1275,helmed,zon,came,zuslo,ersi,,adjective,,
1276,hero,obur,arido,spunog,usmen,,noun,singular,
1277,heroes,obur,arido,spunog,usmen,,noun,plural,
1278,heroic,obur,arido,spunog,usmen,,adjective,,
1279,hex,banik,necate,aslot,othri,,noun,singular,
1280,hexes,banik,necate,aslot,othri,,noun,plural,
1281,hide,sebïr,cóce,obruk,rakbin,,noun,singular,
1282,hides,sebïr,cóce,obruk,rakbin,,noun,plural,
1283,hideous,lirlez,bìri,streras,pewtha,,adjective,,
1284,high,erlin,imama,aku,sast,,adjective,,
1285,hill,inen,lèma,bostu,apap,,noun,singular,
1286,hills,inen,lèma,bostu,apap,,noun,plural,
1287,hip,åmât,amori,kad,uda,,noun,singular,
1288,hips,åmât,amori,kad,uda,,noun,plural,
1289,hoary,goster,fica,otbu,ziz,,adjective,,
1290,hobble,kunon,epipe,ngut,thiso,,verb,,present 1st person
1291,hobbles,kunon,epipe,ngut,thiso,,verb,,present 3rd person
1292,hobbled,kunon,epipe,ngut,thiso,,verb,,preterite
1293,hobbled,kunon,epipe,ngut,thiso,,verb,,past participle
1294,hobbling,kunon,epipe,ngut,thiso,,verb,,present participle
1295,hog,tarag,ÿara,snam,celo,,noun,singular,
1296,hogs,tarag,ÿara,snam,celo,,noun,plural,
1297,holiness,kiron,elo,luxam,mon,,noun,singular,
1298,holinesses,kiron,elo,luxam,mon,,noun,plural,
1299,holy,kiron,elo,luxam,mon,,adjective,,
1300,hoist,lilum,larò,aspung,ipom,,verb,,present 1st person
1301,hoists,lilum,larò,aspung,ipom,,verb,,present 3rd person
1302,hoisted,lilum,larò,aspung,ipom,,verb,,preterite
1303,hoisted,lilum,larò,aspung,ipom,,verb,,past participle
1304,hoisting,lilum,larò,aspung,ipom,,verb,,present participle
1305,hole,oggez,cona,ana,kul,,noun,singular,
1306,holes,oggez,cona,ana,kul,,noun,plural,
1307,home,bom,elomi,udung,umcos,,noun,singular,
1308,homes,bom,elomi,udung,umcos,,noun,plural,
1309,honey,stetár,arifè,stoz,someg,,noun,singular,
1310,honeys,stetár,arifè,stoz,someg,,noun,plural,
1311,hood,sikel,luthama,setu,kusut,,noun,singular,
1312,hoods,sikel,luthama,setu,kusut,,noun,plural,
1313,hoof,unnos,fìma,slum,ret,,noun,singular,
1314,hooves,unnos,fìma,slum,ret,,noun,plural,
1315,hop,kisul,lelé,asm,siru,,noun,singular,
1316,hops,kisul,lelé,asm,siru,,noun,plural,
1317,hopper,ikus,ayefi,angnu,buh,,noun,singular,
1318,hoppers,ikus,ayefi,angnu,buh,,noun,plural,
1319,hop,ikus,ayefi,angnu,buh,,verb,,present 1st person
1320,hops,ikus,ayefi,angnu,buh,,verb,,present 3rd person
1321,hopped,ikus,ayefi,angnu,buh,,verb,,preterite
1322,hopped,ikus,ayefi,angnu,buh,,verb,,past participle
1323,hopping,ikus,ayefi,angnu,buh,,verb,,present participle
1324,horn,sheget,ílime,era,iskak,,noun,singular,
1325,horns,sheget,ílime,era,iskak,,noun,plural,
1326,horse,famthut,remìni,smuz,mimap,,noun,singular,
1327,horses,famthut,remìni,smuz,mimap,,noun,plural,
1328,hound,rorung,cami,onës,cek,,noun,singular,
1329,hounds,rorung,cami,onës,cek,,noun,plural,
1330,howl,idor,ola,nosost,omli,,noun,singular,
1331,howls,idor,ola,nosost,omli,,noun,plural,
1332,hug,enur,ina,susp,thomod,,noun,singular,
1333,hugs,enur,ina,susp,thomod,,noun,plural,
1334,hug,enur,ina,susp,thomod,,verb,,present 1st person
1335,hugs,enur,ina,susp,thomod,,verb,,present 3rd person
1336,hugged,enur,ina,susp,thomod,,verb,,preterite
1337,hugged,enur,ina,susp,thomod,,verb,,past participle
1338,hugging,enur,ina,susp,thomod,,verb,,present participle
1339,hum,kur,vora,utnu,nongos,,verb,,present 1st person
1340,hums,kur,vora,utnu,nongos,,verb,,present 3rd person
1341,hummed,kur,vora,utnu,nongos,,verb,,preterite
1342,hummed,kur,vora,utnu,nongos,,verb,,past participle
1343,humming,kur,vora,utnu,nongos,,verb,,present participle
1344,hunger,fokásh,ume,esno,ubac,,noun,singular,
1345,hungers,fokásh,ume,esno,ubac,,noun,plural,
1346,hungry,fokásh,ume,esno,ubac,,adjective,,
1347,hustle,vostaz,narowi,umo,istrir,,verb,,present 1st person
1348,hustles,vostaz,narowi,umo,istrir,,verb,,present 3rd person
1349,hustled,vostaz,narowi,umo,istrir,,verb,,preterite
1350,hustled,vostaz,narowi,umo,istrir,,verb,,past participle
1351,hustling,vostaz,narowi,umo,istrir,,verb,,present participle
1352,ice,ushil,ocima,uslang,isdi,,noun,singular,
1353,ices,ushil,ocima,uslang,isdi,,noun,plural,
1354,icy,ushil,ocima,uslang,isdi,,adjective,,
1355,idleness,gumùr,newa,esrox,oto,,noun,singular,
1356,idlenesses,gumùr,newa,esrox,oto,,noun,plural,
1357,idle,gumùr,newa,esrox,oto,,adjective,,
1358,idol,ular,athaca,rur,ikim,,noun,singular,
1359,idols,ular,athaca,rur,ikim,,noun,plural,
1360,illness,enen,vawume,åtôz,usluh,,noun,singular,
1361,illnesses,enen,vawume,åtôz,usluh,,noun,plural,
1362,ill,enen,vawume,åtôz,usluh,,adjective,,
1363,impurity,goshîst,urila,uxom,ñolpu,,noun,singular,
1364,impurities,goshîst,urila,uxom,ñolpu,,noun,plural,
1365,impure,goshîst,urila,uxom,ñolpu,,adjective,,
1366,incense,âzkob,thone,ungo,mab,,noun,singular,
1367,incenses,âzkob,thone,ungo,mab,,noun,plural,
1368,inch,meb,nipa,ngustû,kem,,noun,singular,
1369,inches,meb,nipa,ngustû,kem,,noun,plural,
1370,inch,meb,nipa,ngustû,kem,,verb,,present 1st person
1371,inches,meb,nipa,ngustû,kem,,verb,,present 3rd person
1372,inched,meb,nipa,ngustû,kem,,verb,,preterite
1373,inched,meb,nipa,ngustû,kem,,verb,,past participle
1374,inching,meb,nipa,ngustû,kem,,verb,,present participle
1375,ink,likot,forile,ngûlo,escu,,noun,singular,
1376,inks,likot,forile,ngûlo,escu,,noun,plural,
1377,inky,likot,forile,ngûlo,escu,,adjective,,
1378,ink,likot,forile,ngûlo,escu,,verb,,present 1st person
1379,inks,likot,forile,ngûlo,escu,,verb,,present 3rd person
1380,inked,likot,forile,ngûlo,escu,,verb,,preterite
1381,inked,likot,forile,ngûlo,escu,,verb,,past participle
1382,inking,likot,forile,ngûlo,escu,,verb,,present participle
1383,inn,stëtnin,ifisa,okaz,nese,,noun,singular,
1384,inns,stëtnin,ifisa,okaz,nese,,noun,plural,
1385,insanity,zarut,ÿaralo,naslo,zulen,,noun,singular,
1386,insanities,zarut,ÿaralo,naslo,zulen,,noun,plural,
1387,invisible,nelzur,arali,slug,nulo,,adjective,,
